hits_count,reads_count,hits_count_pro,ratio_hits_prom,orf_len,insertion_index,reads_by_len,NI,NI_ratio,HFI,HFI_ratio,orf,label
11,646,6,0.8571428571428571,314,0.03503184713375796,2.0573248407643314,2.02484076433121,0.9538461538461538,0.3694267515923567,0.4827586206896552,YAL069W,non_ess
14,632,1,0.25,254,0.05511811023622047,2.4881889763779528,3.1495475379010465,1.6847014925373134,0.5039370078740157,1.40625,YAL068W-A,non_ess
3,39,6,2.0,308,0.00974025974025974,0.1266233766233766,0.946103896103896,1.892207792207792,0.4642857142857143,2.1538461538461537,YAL066W,non_ess
77,1828,19,1.5833333333333333,1373,0.056081573197378005,1.3313911143481427,1.8407380432143725,1.1166666666666665,0.11361981063364895,0.4487179487179487,YAL062W,non_ess
75,3768,1,0.25,1253,0.05985634477254589,3.0071827613727056,1.6327769874041431,1.427536231884058,0.10295291300877893,1.3953488372093024,YAL061W,non_ess
34,940,2,1.0,1148,0.02961672473867596,0.818815331010453,0.6284269020917127,0.7416355262014427,0.11062717770034844,1.0,YAL060W,non_ess
9,194,17,2.125,350,0.025714285714285717,0.5542857142857143,0.5033001808318264,1.7871835443037971,0.98,1.020408163265306,YAL056C-A,non_ess
16,337,3,3.0,542,0.029520295202952032,0.6217712177121771,0.4374371016437437,1.0446280991735537,0.26752767527675275,1.0,YAL055W,non_ess
14,79,1,0.09090909090909093,2357,0.005939753924480272,0.033517182859567236,0.1113037153766895,0.4177339901477833,0.2736529486635554,0.8325581395348837,YAL043C,ess
10,267,3,1.5,377,0.026525198938992044,0.7082228116710876,0.5333015583554377,1.1328125000000002,0.2546419098143236,1.4270833333333337,YAL042C-A,non_ess
11,26,1,1.0,2564,0.004290171606864275,0.01014040561622465,0.09601734069362776,0.4966555183946489,0.3420436817472699,2.9236031927023944,YAL041W,ess
45,333,10,1.6666666666666667,809,0.055624227441285534,0.41161928306551293,1.3272086407824641,0.8789202064311236,0.10754017305315204,0.7816091954022989,YAL039C,non_ess
10,36,0,0.0,1502,0.006657789613848202,0.023968042609853527,0.16982820719914432,0.342896174863388,0.3475366178428761,0.314176245210728,YAL038W,ess
3,30,2,4.0,92,0.03260869565217391,0.32608695652173914,0.8388691920134353,1.5643776824034337,0.9239130434782608,0.4235294117647059,YAL037C-A,non_ess
6,61,1,0.25,869,0.0069044879171461454,0.07019562715765247,0.21588934768383766,1.169934640522876,0.6605293440736478,0.8066202090592335,YAL034W-A,ess
0,0,1,2.0,521,0.0,0.0,0.0,0.0,1.0,0.2418426103646833,YAL033W,ess
11,102,0,0.0,1139,0.009657594381035995,0.08955223880597014,0.4634245651537708,0.5933977455716586,0.3125548726953468,0.797752808988764,YAL032C,ess
5,12,0,0.0,308,0.016233766233766232,0.03896103896103896,0.7642961876832844,1.0161290322580647,0.4512987012987013,1.0,YAL031W-A,non_ess
13,102,2,0.5,569,0.02284710017574693,0.17926186291739896,0.8586701816051553,0.6219135802469136,0.7381370826010545,1.0047619047619047,YAL019W-A,non_ess
9,420,2,0.4,185,0.04864864864864865,2.27027027027027,2.0658900279589933,3.5172413793103443,0.5297297297297298,1.193877551020408,YAL016C-B,non_ess
0,0,1,0.5,986,0.0,0.0,0.0,0.0,1.0,0.30425963488843816,YAL003W,ess
49,1342,7,1.75,1619,0.030265596046942563,0.8289067325509574,1.5968489854618195,0.7383754305396094,0.12476837554045707,0.8465346534653466,YAR002W,non_ess
44,16532,1,0.3333333333333333,1280,0.034375,12.915625,2.7414062500000003,0.8044217687074829,0.13046875,0.844311377245509,YAR003W,non_ess
1,22,0,0.0,1865,0.0005361930294906167,0.011796246648793566,0.03520500946774405,0.09003496503496503,0.8219839142091153,0.4057403783431181,YAR007C,ess
8,81,0,0.0,827,0.009673518742442565,0.09794437726723096,0.629739663829208,0.4806054872280038,0.4534461910519952,0.5466666666666666,YAR008W,ess
21,1183,0,0.0,2924,0.007181942544459643,0.4045827633378933,0.3915436107341181,0.9567297690867488,0.2411080711354309,1.5645390070921985,YAR019C,ess
9,86,2,2.0,539,0.016697588126159554,0.15955473098330242,0.7500912436509627,0.5986759142496848,0.3654916512059369,0.6598984771573605,YAR023C,non_ess
2,6,2,2.0,341,0.0058651026392961885,0.01759530791788856,0.21402479806554509,0.3771929824561403,0.9648093841642228,0.5136778115501519,YAR030C,non_ess
188,9266,26,2.0,2063,0.09112942317014057,4.491517207949587,4.367229214605817,1.6667557694021204,0.11924381968007755,8.386178861788617,YAR035W,non_ess
2,20,12,1.3333333333333333,80,0.025,0.25,1.4782303370786516,0.3792134831460674,0.3875,1.0,YAR035C-A,non_ess
27,3164,0,1.0,335,0.08059701492537312,9.444776119402984,3.932821330241994,1.3913368185212844,0.4805970149253732,1.1677018633540373,YBL109W,non_ess
16,1003,0,1.0,305,0.052459016393442616,3.2885245901639344,2.427662212425954,1.0878533231474408,0.32459016393442625,1.3636363636363635,YBL108W,non_ess
18,100,0,0.0,3455,0.005209840810419681,0.02894356005788712,0.24646554603139265,0.5780885780885779,0.20520984081041968,0.7122708039492243,YBL105C,ess
4,460,7,1.0,119,0.03361344537815126,3.865546218487395,2.0863020054647627,0.4943032427695005,0.5630252100840336,0.5074626865671642,YBL100W-C,non_ess
12,87,0,1.0,2264,0.00530035335689046,0.03842756183745583,0.6345176436419963,0.7621419676214197,0.5993816254416962,0.39793662490788506,YBL097W,ess
19,146,1,0.5,308,0.06168831168831169,0.47402597402597396,5.978158205430932,4.071428571428571,0.275974025974026,1.2470588235294118,YBL096C,non_ess
1,2,0,1.0,725,0.0013793103448275859,0.0027586206896551718,0.08328912466843501,0.3769230769230769,0.7448275862068966,0.5796296296296296,YBL092W,ess
21,1177,7,2.333333333333333,615,0.03414634146341464,1.913821138211382,2.05219512195122,2.1,0.1951219512195122,1.4499999999999995,YBL091C-A,non_ess
7,133,0,1.0,2276,0.003075571177504393,0.058435852372583474,0.10409816316117693,0.5409946236559139,0.6370826010544816,0.3903448275862069,YBL084C,ess
10,36,0,0.0,3218,0.003107520198881293,0.011187072715972655,0.11683744747759665,0.3724053724053724,0.4291485394655065,0.7038377986965967,YBL076C,ess
14,229,0,0.0,1067,0.013120899718837864,0.21462043111527648,0.4281259089293217,0.8900862068965517,0.21274601686972824,1.3127753303964758,YBL074C,ess
3,4,0,0.0,994,0.003018108651911469,0.004024144869215292,0.0872929887014394,0.4112426035502959,0.6720321931589537,0.4865269461077844,YBL050W,ess
51,6605,5,1.25,368,0.13858695652173916,17.94836956521739,3.4583745059288535,1.3369059917355373,1.0,1.0,YBL044W,non_ess
1,2,0,0.0,725,0.0013793103448275859,0.0027586206896551718,0.03276147050441721,0.09274563820018364,0.5296551724137931,0.4088541666666666,YBL041W,ess
7,37,1,0.5,756,0.009259259259259259,0.04894179894179894,0.2217533989685888,0.9845288326300984,0.4576719576719577,1.3063583815028903,YBL040C,ess
3,24,0,0.0,698,0.004297994269340974,0.034383954154727794,0.10258747937831032,0.19696969696969696,0.5114613180515759,0.5686274509803921,YBL038W,non_ess
10,36,0,1.0,2117,0.004723665564478035,0.017005196032120924,0.15710124389859864,0.2476851851851852,0.3131790269248937,0.4343891402714931,YBL035C,ess
13,65,0,1.0,4541,0.0028628055494384487,0.014314027747192247,0.07530365933730263,0.3594470046082949,0.35520810394186303,2.815251084934904,YBL034C,ess
12,286,4,0.8,284,0.04225352112676056,1.0070422535211268,1.3102540476503883,5.046728971962617,0.2007042253521127,2.12280701754386,YBL029C-A,non_ess
29,373,1,0.25,1130,0.02566371681415929,0.33008849557522124,0.8097797900802635,1.3638242894056851,0.2690265486725664,0.9769736842105262,YBL029W,non_ess
0,0,0,0.0,415,0.0,0.0,0.0,0.0,1.0,0.5614457831325301,YBL026W,ess
8,22,0,0.0,1724,0.004640371229698376,0.012761020881670531,0.09942877301529153,0.34619883040935673,0.4541763341067285,0.4674329501915709,YBL020W,ess
2,3,0,1.0,476,0.004201680672268907,0.0063025210084033615,0.0821914972885706,0.1129720853858785,0.8487394957983193,0.400990099009901,YBL018C,ess
49,1144,3,0.42857142857142855,1580,0.0310126582278481,0.7240506329113924,0.7017788645953202,0.9107646229739252,0.1018987341772152,2.1366459627329197,YBL015W,non_ess
67,1630,5,1.25,1205,0.055601659751037334,1.3526970954356847,1.5100505059987606,1.0498575498575495,0.12614107883817427,0.9407894736842104,YBL013W,non_ess
10,99,1,2.0,401,0.024937655860349132,0.2468827930174564,0.7133950837192732,1.41156462585034,0.3167082294264339,0.968503937007874,YBL012C,non_ess
10,518,4,1.0,542,0.01845018450184502,0.955719557195572,3.594710947109471,1.2380952380952381,0.3634686346863469,0.964467005076142,YBL006C,non_ess
5,475,1,1.0,149,0.03355704697986577,3.1879194630872485,6.809499225606609,0.934065934065934,1.0,1.0,YBL006W-A,non_ess
8,428,1,0.25,398,0.02010050251256281,1.0753768844221103,0.44478029243964173,0.7690655209452203,0.3894472361809045,0.6967741935483871,YBL003C,non_ess
26,514,5,1.25,395,0.06582278481012659,1.3012658227848102,1.21067732622696,0.7336257309941521,0.14936708860759493,1.2542372881355932,YBL002W,non_ess
35,3362,5,1.6666666666666667,314,0.11146496815286623,10.707006369426752,1.8593305325924925,1.1524822695035462,0.14968152866242038,1.4042553191489362,YBL001C,non_ess
129,5689,10,3.333333333333333,2342,0.05508112724167378,2.429120409906063,0.9131269225427652,1.0261305333492423,0.06831767719897522,0.975,YBR001C,non_ess
4,117,0,0.0,860,0.004651162790697674,0.136046511627907,0.0828070654027143,0.14014508411791946,0.9372093023255814,0.15260545905707196,YBR002C,ess
6,19,0,0.0,1301,0.0046118370484242895,0.01460415065334358,0.08897770945426595,0.16123076923076926,0.5841660261337432,0.30657894736842106,YBR004C,ess
13,582,1,1.0,641,0.0202808112324493,0.9079563182527302,0.3826789847412537,0.4453400503778338,0.29017160686427457,0.456989247311828,YBR005W,non_ess
59,1587,0,0.0,1493,0.039517749497655734,1.0629604822505023,0.862317709919016,0.9893292682926829,0.10515740120562624,1.6687898089171975,YBR006W,non_ess
4,18,0,0.0,863,0.004634994206257242,0.02085747392815759,0.2661995742272764,0.2638477801268499,0.3731170336037079,1.0838509316770186,YBR011C,ess
9,346,0,0.0,386,0.023316062176165803,0.8963730569948186,1.2116831021226808,1.3064516129032258,0.5,0.772020725388601,YBR016W,non_ess
16,380,1,1.0,533,0.0300187617260788,0.7129455909943715,0.9562257818171532,1.0107681263460158,0.29080675422138835,1.0064516129032255,YBR022W,non_ess
9,30,1,2.0,332,0.02710843373493976,0.09036144578313253,1.017117249485748,0.5203252032520325,0.3765060240963856,0.376,YBR027C,non_ess
8,22,0,0.0,1373,0.005826656955571741,0.016023306627822288,0.1919467277078348,0.4714285714285714,0.4085943190094683,0.6399286987522282,YBR029C,ess
38,2652,5,1.0,302,0.12582781456953646,8.781456953642385,3.931449908412005,1.3624901497241924,1.0,1.0,YBR032W,non_ess
11,54,3,1.5,686,0.016034985422740525,0.07871720116618076,0.5630598194527381,0.8669678714859438,0.20408163265306126,1.5857142857142856,YBR035C,non_ess
20,93,0,1.0,2891,0.006918021445866482,0.032168799723279136,0.2433809954449413,0.36704959372373214,0.20269802836388792,0.5409556313993175,YBR038W,ess
17,1553,6,1.0,527,0.03225806451612903,2.946869070208729,0.7856182795698924,1.3051697530864197,0.1555977229601518,2.7926829268292686,YBR047W,non_ess
14,63,1,0.16666666666666666,2432,0.005756578947368421,0.025904605263157892,0.14406255288542902,0.36495176848874605,0.21258223684210525,1.309477756286267,YBR049C,ess
17,478,2,0.6666666666666666,1016,0.01673228346456693,0.4704724409448819,0.3957239720034996,0.6432748538011697,0.19488188976377951,1.373737373737374,YBR050C,non_ess
11,568,0,1.0,350,0.03142857142857143,1.6228571428571428,0.6671570014144272,1.5973597359735976,0.62,0.9861751152073732,YBR051W,non_ess
5,13,1,0.3333333333333333,1862,0.0026852846401718587,0.006981740064446832,0.08259093110928582,0.3011204481792717,0.3775510204081632,0.8236130867709816,YBR060C,ess
11,136,0,1.0,662,0.016616314199395767,0.2054380664652568,0.3556133812600613,0.5549067315490674,0.3595166163141994,0.8319327731092437,YBR066C,non_ess
2,17,2,1.0,713,0.002805049088359046,0.02384291725105189,0.046422927785851636,0.08989441930618401,0.4403927068723703,0.6528662420382166,YBR070C,ess
12,840,5,5.0,161,0.07453416149068323,5.217391304347826,1.309923216119724,0.9448818897637794,0.40993788819875776,0.6666666666666667,YBR072C-A,non_ess
8,226,8,1.6,266,0.030075187969924814,0.849624060150376,0.8190243049484176,0.723514211886305,0.43609022556390975,0.7068965517241379,YBR076C-A,non_ess
