hits_count,reads_count,hits_count_pro,orf_len,insertion_index,reads_by_len,NI,HFI,orf,label
14,1012,4,314,0.044585987261146494,3.2229299363057327,6.091256514186449,0.25796178343949044,YAL069W,non_ess
14,535,7,254,0.05511811023622047,2.106299212598425,7.6734430923407295,0.5905511811023622,YAL068W-A,non_ess
4,60,1,362,0.011049723756906077,0.16574585635359115,1.6526121934670932,0.7513812154696132,YAL068C,non_ess
2,41,3,227,0.00881057268722467,0.1806167400881057,1.361156194450885,1.0,YAL067W-A,non_ess
0,0,0,1781,0.0,0.0,0.0,1.0,YAL067C,non_ess
0,0,2,308,0.0,0.0,0.0,1.0,YAL066W,non_ess
3,51,0,386,0.007772020725388602,0.13212435233160622,2.259159881569208,0.5,YAL065C,non_ess
0,0,0,380,0.0,0.0,0.0,1.0,YAL064W-B,non_ess
0,0,0,380,0.0,0.0,0.0,1.0,YAL064C-A,non_ess
0,0,1,284,0.0,0.0,0.0,1.0,YAL064W,non_ess
1,40,0,290,0.003448275862068965,0.13793103448275862,0.28841784989858016,1.0,YAL063C-A,non_ess
17,1364,1,3968,0.004284274193548387,0.34375,0.2275059449958643,0.594758064516129,YAL063C,non_ess
111,4517,27,1373,0.0808448652585579,3.289876183539694,2.063857806028236,0.07574654042243263,YAL062W,non_ess
93,4133,1,1253,0.0742218675179569,3.298483639265762,1.5679057131571097,0.0965682362330407,YAL061W,non_ess
51,2767,3,1148,0.04442508710801394,2.4102787456445998,0.7238546909278617,0.14285714285714285,YAL060W,non_ess
3,45,0,422,0.007109004739336493,0.1066350710900474,0.11583289450588027,0.7725118483412322,YAL059C-A,non_ess
7,155,6,638,0.0109717868338558,0.24294670846394986,0.1787723983126282,0.8495297805642633,YAL059W,non_ess
19,193,2,1508,0.012599469496021221,0.12798408488063662,0.1970591235882233,0.11206896551724138,YAL058W,non_ess
4,69,16,350,0.011428571428571429,0.19714285714285715,0.16870098874872144,1.0,YAL056C-A,non_ess
65,1110,11,2642,0.024602573807721424,0.4201362604087812,0.3522502502991379,0.10295230885692658,YAL056W,non_ess
14,208,4,542,0.025830258302583026,0.3837638376383764,0.3077319145284476,0.2952029520295203,YAL055W,non_ess
