hits_count,reads_count,hits_count_pro,ratio_hits_prom,orf_len,insertion_index,reads_by_len,NI,NI_ratio,HFI,HFI_ratio,orf,label
19,458,6,2.0,314,0.06050955414012739,1.4585987261146496,2.8065974679562795,0.8535665294924555,0.16878980891719744,1.2325581395348837,YAL069W,non_ess
11,474,10,1.4285714285714286,254,0.043307086614173235,1.8661417322834648,2.0219656231995393,0.701688555347092,0.5748031496062992,1.0977443609022557,YAL068W-A,non_ess
9,56,3,3.0,308,0.02922077922077922,0.18181818181818185,1.9037456445993033,1.258536585365854,0.5097402597402597,0.8532608695652174,YAL066W,non_ess
84,1318,20,1.5384615384615383,1373,0.06117989803350327,0.9599417334304444,1.6050726189966156,0.9456601198888837,0.06846321922796796,1.160493827160494,YAL062W,non_ess
50,801,0,0.0,1253,0.039904229848363934,0.6392657621707901,0.8941397788165546,0.8142857142857144,0.10614525139664804,0.9236111111111112,YAL061W,non_ess
33,243,1,0.3333333333333333,1148,0.02874564459930314,0.21167247386759586,0.5562830167472181,0.8959417273673257,0.12369337979094075,1.0364963503649631,YAL060W,non_ess
11,68,11,0.8461538461538461,350,0.03142857142857143,0.19428571428571428,0.5569791240278347,0.6934097421203438,0.98,1.0820189274447949,YAL056C-A,non_ess
15,172,3,0.75,542,0.027675276752767528,0.3173431734317343,0.40507568340989536,1.4387755102040818,0.30996309963099633,0.5544554455445545,YAL055W,non_ess
11,41,0,0.0,2357,0.004666949512091642,0.017394993635977938,0.07071275646868888,0.3725068158989812,0.3949936359779381,1.7733333333333334,YAL043C,ess
10,84,2,1.0,377,0.026525198938992044,0.2228116710875332,0.4447074884006256,0.6747324336900885,0.20689655172413796,0.951219512195122,YAL042C-A,non_ess
10,50,0,0.0,2564,0.0039001560062402493,0.01950078003120125,0.07320970258165166,0.3142559833506764,1.0,3.1890547263681595,YAL041W,ess
88,1443,9,1.5,809,0.10877626699629173,1.7836835599505565,2.161285537700865,1.294328358208955,0.08405438813349815,1.0625000000000002,YAL039C,non_ess
6,15,0,0.0,1502,0.0039946737683089215,0.009986684420772305,0.08260082901646089,0.1679250981576563,0.3475366178428761,3.0,YAL038W,ess
6,58,0,1.0,92,0.06521739130434782,0.6304347826086957,1.37162471395881,0.9578947368421052,0.44565217391304346,1.4137931034482758,YAL037C-A,non_ess
4,28,0,0.0,869,0.004602991944764097,0.03222094361334868,0.11235057889669099,0.3401360544217687,0.7330264672036824,1.5166666666666666,YAL034W-A,ess
0,0,2,4.0,521,0.0,0.0,0.0,0.0,1.0,3.6433566433566433,YAL033W,ess
17,72,0,0.0,1139,0.01492537313432836,0.06321334503950835,0.5490878938640132,0.6660818713450293,1.0,6.903030303030302,YAL032C,ess
